sample,REG_AGREED_SUITE01,780,JOB IN PROGRESS,10/26/2016 18:35:03
sample,REG_AGREED_SUITE01,781,JOB IN QUEUE,01/01/1970 00:00:00
sample,REG_AGREED_SUITE01,782,JOB IN PROGRESS,10/26/2016 18:54:48
sample,REG_AGREED_SUITE01,783,JOB IN PROGRESS,10/26/2016 19:39:13
sample,REG_AGREED_SUITE02,784,JOB IN QUEUE,01/01/1970 00:00:00
sample,REG_AGREED_SUITE01,785,JOB IN PROGRESS,10/26/2016 18:11:22
sample,REG_AGREED_SUITE02,786,JOB IN QUEUE,01/01/1970 00:00:00
sample,REG_AGREED_SUITE01,787,JOB IN PROGRESS,10/26/2016 18:12:22
sample,REG_AGREED_SUITE03,788,JOB IN QUEUE,01/01/1970 00:00:00
sample,REG_AGREED_SUITE03,789,JOB IN PROGRESS,10/26/2016 18:16:03
