job1,...,16,FAILURE,11/17/2016 00:09:50,11/17/2016 00:09:51,0
job1,...,15,FAILURE,11/16/2016 08:26:58,11/16/2016 08:26:59,0
job2,...,7,SUCCESS,11/16/2016 08:29:25,11/16/2016 08:29:25,0
job2,...,6,SUCCESS,11/16/2016 08:29:22,11/16/2016 08:29:22,0
job3,...,1,SUCCESS,11/16/2016 02:22:41,11/16/2016 02:22:42,0
job4,...,1,SUCCESS,11/16/2016 02:24:31,11/16/2016 02:24:32,0
job5,...,1,SUCCESS,11/16/2016 02:25:42,11/16/2016 02:25:43,0
job6,...,1,SUCCESS,11/16/2016 04:49:05,11/16/2016 04:49:05,0
job7,...,2,SUCCESS,11/17/2016 00:56:39,11/17/2016 00:56:39,0
job7,...,1,SUCCESS,11/17/2016 00:55:35,11/17/2016 00:55:35,0
job8,...,1,SUCCESS,11/17/2016 01:24:19,11/17/2016 01:24:19,0
